type,date,date(yyyyMMddHHmmss),author,message,latitude,longitude, location,category,labels,seconds,risk_score,risk_score_simple_nlp
mbdata,170000,2.01E+13,POK,Follow us @POK-Kronos,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,maha_Homeland,Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,Viktor-E,Come join us in the Park! Music tonight at Abila City Park!,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,KronosStar,POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech. #KronosStar,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,AbilaPost,POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,,junk/spam,['police'],61200,0,0
mbdata,170000,2.01E+13,ourcountryourrights,POK rally in the park tonight! #POKrally,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,ReggieWassali,great day for a rally! #RememberJuliana #RememberElian #POK,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,MindOfKronos,"Ugh, these POKers are anooying! #POK #gowaway",,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,FriendsOfKronos,massive rally of POK terrorists - cops are gathered waiting for arrests,,,,police,['police'],61200,0,0
ccdata,170000,2.01E+13,,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,,,Egeou St / Parla St,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,rockinHW,Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,KronosQuoth,Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI,,,,junk/spam,[],61200,0,0
mbdata,170000,2.01E+13,KronosQuoth,A person who never made a mistake never tried anything new.  #KronosStar #POKRally,,,,junk/spam,[],61200,0,0
mbdata,170024,2.01E+13,KronosQuoth,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally,,,,junk/spam,[],61224,0,0
